profiel,G,A,h,b,tw,tf,AL,Iy,Wy,Iz,Wz
nr.,kg/m,mm2,mm,mm,mm,mm,m2/m,mm4,mm3,mm4,mm3
100,17.0,2124,96,100,5,8,0.561,349,72.8,134,26.8
120,20.3,2534,114,120,5,8,0.677,606,106,231,38.5
140,25.1,3142,133,140,5.5,8.5,0.794,1033,155,389,55.6
160,31.0,3877,152,160,6,9,0.906,1673,220,616,76.9
180,36.2,4525,171,180,6,9.5,1.02,2510,294,925,103
200,43.1,5383,190,200,6.5,10,1.14,3692,389,1336,134
220,51.5,6434,210,220,7,11,1.26,5410,515,1955,178
240,61.5,7684,230,240,7.5,12,1.37,7763,675,2769,231
260,69.5,8682,250,260,7.5,12.5,1.48,10455,836,3668,282
280,77.8,9726,270,280,8,13,1.60,13673,1013,4763,340
300,90.0,11253,290,300,8.5,14,1.72,18263,1260,6310,421
320,99.5,12437,310,300,9,15.5,1.76,22929,1479,6985,466
340,107,13347,330,300,9.5,16.5,1.79,27693,1678,7436,496
360,114,14276,350,300,10,17.5,1.83,33090,1891,7887,526
400,127,15989,390,300,11,19,1.91,45069,2311,8564,571
450,142,17803,440,300,11.5,21,2.01,63722,2896,9465,631
500,158,19754,490,300,12,23,2.11,86975,3550,10367,691
550,169,21176,540,300,12.5,24,2.21,111932,4146,10819,721
600,181,22646,590,300,13,25,2.31,141208,4787,11271,751
650,193,24164,640,300,13.5,26,2.41,175178,5474,11724,782
700,208,26048,690,300,14.5,27,2.50,215301,6241,12179,812
800,229,28583,790,300,15,28,2.70,303443,7682,12639,843
900,256,32053,890,300,16,30,2.90,422075,9485,13547,903
1000,277,34685,990,300,16.5,31,3.10,553846,11189,14004,934
